service,department,current fee,recommended fee,peer median,recovery target
Site Development Hearing Review,PLAN,4500,15369,13800,100
Site Development — Fast Track Hearing,PLAN,5200,18383,16500,100
Site Development — Minor Admin Review,PLAN,1800,9342,8200,70
Site Development — Major Admin Review,PLAN,3200,10849,9600,70
Fence Permit — Administrative,PLAN,600,1507,1350,100
Oak Tree Removal,PLAN,300,904,780,100
Pre-Application — Formal Meeting,PLAN,550,603,560,100
Building Permit — New SFR (tiered, typ. $1.5M),BLDG,14200,15204,13800,100
Building Permit — Major Remodel,BLDG,4400,5430,5100,100
Swimming Pool / Spa Permit (new),BLDG,2100,3258,3050,100
Residential Solar / PV Permit,BLDG,475,362,400,80
Additional Plan Review — Minimum Processing,BLDG,375,543,510,100
Engineering Review of Building Permits,ENG,150,1527,1400,100
Erosion Control Inspections,ENG,225,719,640,100
Encroachment Permit — Application Fee,ENG,340,898,820,100
Engineering Blended Hourly Rate,ENG,240,359,310,100
Pool Spa Permit,BLDG,2100,3258,3050,100
